2026-05-19 11:54:45 - __main__ - INFO - Starting packet capture on interface 'any'
2026-05-19 11:54:45 - __main__ - INFO - BPF filter: tcp port 5050
2026-05-19 11:54:49 - app.model_prediction - INFO - Model loaded successfully: /app/models/random_forest_min-max_scaling_model.pkl
2026-05-19 11:54:49 - app.model_prediction - INFO - Scaler loaded successfully: /app/models/random_forest_min-max_scaling_scaler.pkl
2026-05-19 11:54:49 - __main__ - INFO - Detection system initialized successfully
2026-05-19 11:54:50 - __main__ - INFO - Capture started. Waiting for packets...
2026-05-19 11:54:50 - __main__ - INFO - Press Ctrl+C to stop
2026-05-19 11:55:44 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 83.24%, Threshold: 65.00%)
2026-05-19 11:55:44 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 81.15%, Threshold: 65.00%)
2026-05-19 11:55:44 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 82.55%, Threshold: 65.00%)
2026-05-19 11:55:45 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 81.00%, Threshold: 65.00%)
2026-05-19 11:55:45 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 82.84%, Threshold: 65.00%)
2026-05-19 11:55:45 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 80.42%, Threshold: 65.00%)
2026-05-19 11:55:45 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 76.18%, Threshold: 65.00%)
2026-05-19 11:55:45 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 80.26%, Threshold: 65.00%)
2026-05-19 11:55:46 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 78.06%, Threshold: 65.00%)
2026-05-19 11:55:46 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 77.79%, Threshold: 65.00%)
2026-05-19 11:55:46 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 78.38%, Threshold: 65.00%)
2026-05-19 11:55:46 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 77.31%, Threshold: 65.00%)
2026-05-19 11:55:46 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 77.50%, Threshold: 65.00%)
2026-05-19 11:55:47 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 78.24%, Threshold: 65.00%)
2026-05-19 11:55:47 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 79.27%, Threshold: 65.00%)
2026-05-19 11:55:48 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 84.73%, Threshold: 65.00%)
2026-05-19 11:55:48 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 85.81%, Threshold: 65.00%)
2026-05-19 11:55:53 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 79.75%, Threshold: 65.00%)
2026-05-19 11:55:53 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 81.98%, Threshold: 65.00%)
2026-05-19 11:55:55 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 79.85%, Threshold: 65.00%)
2026-05-19 11:55:55 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 78.62%, Threshold: 65.00%)
2026-05-19 11:55:57 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 83.55%, Threshold: 65.00%)
2026-05-19 11:55:57 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 79.75%, Threshold: 65.00%)
2026-05-19 11:55:57 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 79.90%, Threshold: 65.00%)
2026-05-19 11:55:57 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 80.55%, Threshold: 65.00%)
2026-05-19 11:55:57 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 80.65%, Threshold: 65.00%)
2026-05-19 11:55:57 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 75.62%, Threshold: 65.00%)
2026-05-19 11:55:58 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 76.97%, Threshold: 65.00%)
2026-05-19 11:55:58 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 75.02%, Threshold: 65.00%)
2026-05-19 11:55:58 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 76.01%, Threshold: 65.00%)
2026-05-19 11:55:58 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 73.26%, Threshold: 65.00%)
2026-05-19 11:55:58 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 76.29%, Threshold: 65.00%)
2026-05-19 11:55:58 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 72.44%, Threshold: 65.00%)
2026-05-19 11:55:58 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 73.59%, Threshold: 65.00%)
2026-05-19 11:55:58 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 73.33%, Threshold: 65.00%)
2026-05-19 11:55:59 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 71.96%, Threshold: 65.00%)
2026-05-19 11:56:01 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 82.79%, Threshold: 65.00%)
2026-05-19 11:56:02 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 79.99%, Threshold: 65.00%)
2026-05-19 11:56:02 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 78.90%, Threshold: 65.00%)
2026-05-19 11:56:02 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 77.99%, Threshold: 65.00%)
2026-05-19 11:56:03 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 74.87%, Threshold: 65.00%)
2026-05-19 11:56:03 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 77.97%, Threshold: 65.00%)
2026-05-19 11:56:05 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 80.59%, Threshold: 65.00%)
2026-05-19 11:56:06 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 81.16%, Threshold: 65.00%)
2026-05-19 11:56:06 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 79.73%, Threshold: 65.00%)
2026-05-19 11:56:07 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 72.92%, Threshold: 65.00%)
2026-05-19 11:56:08 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 76.21%, Threshold: 65.00%)
2026-05-19 11:56:08 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 76.75%, Threshold: 65.00%)
2026-05-19 11:56:08 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 84.05%, Threshold: 65.00%)
2026-05-19 11:56:09 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 82.71%, Threshold: 65.00%)
2026-05-19 11:56:09 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 82.95%, Threshold: 65.00%)
2026-05-19 11:56:09 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 84.54%, Threshold: 65.00%)
2026-05-19 11:56:10 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 84.97%, Threshold: 65.00%)
2026-05-19 11:56:10 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 85.37%, Threshold: 65.00%)
2026-05-19 11:56:10 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 81.82%, Threshold: 65.00%)
2026-05-19 11:56:10 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 78.85%, Threshold: 65.00%)
2026-05-19 11:56:11 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 79.78%, Threshold: 65.00%)
2026-05-19 11:56:11 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 77.07%, Threshold: 65.00%)
2026-05-19 11:56:11 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 75.37%, Threshold: 65.00%)
2026-05-19 11:56:11 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 78.09%, Threshold: 65.00%)
2026-05-19 11:56:11 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 74.93%, Threshold: 65.00%)
2026-05-19 11:56:12 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 78.51%, Threshold: 65.00%)
2026-05-19 11:56:12 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 80.47%, Threshold: 65.00%)
2026-05-19 11:56:12 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 80.66%, Threshold: 65.00%)
2026-05-19 11:56:13 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 82.36%, Threshold: 65.00%)
2026-05-19 11:56:14 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 81.14%, Threshold: 65.00%)
2026-05-19 11:56:15 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 74.55%, Threshold: 65.00%)
2026-05-19 11:56:16 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 76.23%, Threshold: 65.00%)
2026-05-19 11:56:16 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 77.97%, Threshold: 65.00%)
2026-05-19 11:56:16 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 79.19%, Threshold: 65.00%)
2026-05-19 11:56:16 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 80.53%, Threshold: 65.00%)
2026-05-19 11:56:16 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 78.94%, Threshold: 65.00%)
2026-05-19 11:56:17 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 80.96%, Threshold: 65.00%)
2026-05-19 11:56:17 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 82.60%, Threshold: 65.00%)
2026-05-19 11:56:17 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 83.45%, Threshold: 65.00%)
2026-05-19 11:56:17 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 86.43%, Threshold: 65.00%)
